Speaker,DRESS_F1,DRESS_F2,FLEECE_F1,FLEECE_F2,GOOSE_F1,GOOSE_F2,KIT_F1,KIT_F2,LOT_F1,LOT_F2,NURSE_F1,NURSE_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,THOUGHT_F1,THOUGHT_F2,TRAP_F1,TRAP_F2
QB_NZ_F_830,-0.11636224821221756,-0.04573381449937151,0.10946018703678081,-0.14974248711910293,0.11590319299888759,-0.030515000353035508,-0.0676466045479742,-0.13152433013944362,0.02754006792886901,-0.02318023299568514,-0.03212671246789861,0.023091216747687986,-0.108710327044165,0.07088620108474036,0.1912049011121915,0.21849659723075032,0.08524465858311046,-0.06869080964120568,-0.27766564280359185,-0.03722459139195973
QB_NZ_F_831,0.010617354845235634,-0.056280144725278904,-0.11016428205734398,0.04114209142413574,0.03289569554935839,-0.19591861355664322,-0.0025314844555113796,1.945133355233842e-4,-0.13178290175249713,-0.20626841173192528,-0.06432294417379066,0.1453869009247263,-0.1379782320321118,0.06866162157759063,0.10629165478943332,0.045145960707800296,0.020687484051249313,-0.1619084069918858,0.08198670602245739,0.07070674040096168
QB_NZ_F_845,-0.012529792781417285,0.003014468146750302,0.061494425287577044,-0.0011027878076401401,-0.034456072319290786,-0.02490305926629538,0.13016321842898507,-0.05901274214096957,-0.13320283299863378,0.006586043655479065,-0.0049533865118691804,-0.033283501728969156,0.045957698664482696,0.09269769288078909,-0.06687034765774987,-0.033742999574748786,-0.052887241631102845,-0.14567297819128985,0.08295281316605826,0.01099481424736692
QB_NZ_F_846,-0.0416850147403961,-0.12323444443303576,-0.20308199218130596,-0.03996913557256825,0.006541776030097187,0.14561960588920494,0.1356324485068991,0.017728645403113794,0.38896841536823756,0.12130425454912075,-0.12474040449471381,-0.06306671353499006,-0.29524420010828245,-0.1858800285769564,-0.007294817134839002,-0.03417537552921992,-0.1398800278469798,0.04632830261580373,0.3064946988976893,0.06562108964525981
QB_NZ_F_848,0.14619336574164585,-0.05683890554946708,0.10759384869653434,0.0012877451461585305,0.019533429110457187,0.05446027409802258,0.07655186630610057,-0.11502366679792961,-0.09529607307456339,-0.10858616709463036,-0.026889558290186563,0.039339799098701535,0.09347401916604443,-4.166216385639235e-4,0.05401712385347338,-0.05789568056747441,-0.005307431949396926,0.1001677413500274,-0.2625952011162737,-0.06242304613484321
QB_NZ_F_853,0.41181239950418796,-0.18110862863766625,-0.3960912235869253,0.27165163032703865,-0.2922051176294896,-0.1049919204022971,-0.1531589484597237,0.23205946126626997,-0.1570703408057294,-0.09197585061409784,0.5108190797980439,-0.2805892708825109,0.01963944297020355,-0.0011190883853693441,-0.2567885108165941,-0.10992864723854454,0.3315035141798177,-0.021055032838731745,0.36495944855266993,-0.07828699719556158
QB_NZ_F_854,0.08112431793390953,0.08834392931610117,0.10059344922556396,-0.016306864095218452,0.1695978329601391,-0.20113274502423178,-0.048005400737968,-0.046489761267092554,-0.21474484771720526,0.0808779616882712,-0.06268054230502394,0.0786914739169633,0.06646269286403016,0.10901675560657352,0.12346313109030405,0.13557416163869795,0.06564930225333593,-0.027910330732584684,-0.42394183085729675,0.09566783408113992
QB_NZ_F_857,-0.10855714619216619,0.08509859579956315,0.08160702031948286,-0.24736864233388686,0.09569246376845016,-0.030796629749484848,0.08289988988370076,-0.14477920888876808,0.15907854816025938,0.17296474556398114,-0.14723868373581733,0.26754258883990994,-0.1550991086252275,-0.007500598831021091,0.09987346388013765,0.07972145771785008,-0.03485223335871583,0.041763158019448784,-0.320313976111492,-0.016936783885345506
QB_NZ_F_860,-0.08918242328250402,0.023212552195409814,0.02508671899961188,-0.09607374820712751,0.064330589696337,0.005673221234694573,0.01600778765593412,-0.07443175037730566,0.0065932147204883825,0.0805754384268133,-0.11987047832725672,0.17300834300898604,-0.09265744755578668,-0.021819136107649937,-0.013090244677826532,0.01723898248327888,-0.0848651421328329,0.03281843099575914,0.06144692364965746,0.02786738054979298
QB_NZ_F_862,-0.09129143030653465,0.07838306653620175,0.042173472280806326,0.06364746062912575,0.012647487304499789,0.10152722744562907,-0.14386253356520912,0.07690294246583598,0.15890095904726687,0.09170339501023499,0.1805980516399514,-0.3370462934951909,0.17810731343079836,-0.280641997918761,-0.07539284662921517,-0.11111385100129552,0.028409914865785518,0.08757276066365348,-0.019302355656018264,-0.11560088293100411
QB_NZ_F_864,-0.3701257118913966,0.2049123546634799,0.09953394014030285,-0.0739678061046476,-0.05072422699101965,-0.2599949309060503,0.31813512704458485,-0.28171456736990325,0.12003505111305611,-0.25534143498202216,-0.27928988202741123,0.04251268780060911,-0.2587258045052265,-0.26367701923512277,0.027058868319003747,-0.19768280871932856,-0.04181765101555947,0.026406282376251616,-0.05641213005454663,0.06983985783036875
QB_NZ_F_870,-0.08181013072320874,0.1316489405686864,0.16511317455485508,-0.049642747277687437,0.08235752730458919,-0.21512210987354274,0.17617903542707294,-0.08776234504726992,-0.19517081223193528,0.05293655292182354,0.007377232075418185,-0.14002818719255056,-0.09589385730531423,0.03070923468502885,0.12551002897223162,0.016631748915061723,-0.15932665185275077,0.10167224929425185,-0.2652631628243028,0.22422833062719214
QB_NZ_F_874,0.015876654027711327,-0.04086354378077289,-0.12558901627014155,-0.009081291978199261,-0.06879595240345712,0.024118862131619772,0.10733276392854796,-0.02221776983347646,0.2573514715807498,0.012083871209261897,-0.14147192088033875,-0.09410743102874024,-0.22091249903190913,0.112331907520632,0.025937660136866315,0.05908560909332982,-0.051596768575187336,0.005529055370134825,0.06049996580181534,-0.05218446869224979
QB_NZ_F_890,-0.14762166177438965,0.09948677681542298,0.07323104522658197,-0.037339164610437924,0.20666118775836714,-0.12267839268055822,0.20635543903005557,-0.08666834850994454,-0.14467867274694243,0.20193130308372248,-0.2036706051028505,0.04934924967193671,0.20649290047146038,-0.01106615302560154,-0.20938284489135095,0.03457091652794796,0.009911956884005124,0.081555102848848815,-0.3100077866547464,0.19518408329797926
QB_NZ_F_899,-0.06929416863500139,0.07355277832848385,0.01219274209682642,-0.002278295532920936,0.1486540048829991,-0.1574457501494846,0.0850701335804475,-0.3295527081307149,-0.0987080325496044,0.001671478017953298,-0.10005929800290735,0.2087340511636401,0.05911582883332705,0.007421746965308279,0.03907506294560115,-0.22584479125869206,0.028645876002671235,0.03393718848344504,-0.26386681238437526,0.15875158399635908
QB_NZ_F_908,-0.020621523684682237,0.02782930807830571,0.07110357458981705,-0.15285665345752422,0.10180070283626431,0.04224694537383691,0.1310622534348433,-0.1906033663094709,-0.06325720691576442,0.12144606958079175,-0.08190043093324216,0.13164772496298366,-0.026948784624855802,0.017416999696106928,0.1349286747031498,0.007059768259503173,-0.029947522236880846,0.12162039758471044,-0.13220652332349928,0.0868110939993758
QB_NZ_F_909,0.00830612928468337,-0.023035712160222536,-0.04327781824433125,0.004163231672828245,0.006041542562461532,-0.07348592091669123,-0.0180387510310933,0.13011212888655407,0.02371068907637895,-0.11655098249185852,-0.13218019939375655,-0.02043904390939043,0.2259632827823097,0.06179037552290485,-0.1472037696706768,0.06013497117115725,0.060148402435660976,-0.005469252035102301,0.26034040880973564,-0.08044702512515786
QB_NZ_F_926,-0.08061387149839157,0.1335334248273629,0.21332466556158114,-0.03852534667787002,0.17589574670057567,-0.09500708835509146,0.1665766908659157,-0.06337026749827643,-0.1651615735726249,-0.12658483291896439,-0.24295305397820707,0.12641993595369402,0.11496490931107504,-0.03181048960515454,0.08384701935263794,-0.01609016792492738,-0.13359026489298217,-0.10541848249117719,-0.11376483484552682,0.06840225324858126
QB_NZ_F_929,0.10323958048895653,0.08004628721412657,-0.19141852296355352,0.20097427878532245,-0.13643385797838514,0.27578013809586865,-0.20646251300212856,0.4950412769471058,0.03358327722648409,-2.8890631189316454e-5,0.29013536819726066,0.15621241774874567,0.032453072488361774,-0.03736354677213948,-0.02254925174759279,-0.0012827708754079706,-0.01811165754554246,-0.038722100014371465,0.12892493845310202,-0.1947464666551435
QB_NZ_F_931,0.054917058653312964,-0.1680079905604216,-0.04470626675382502,0.052756231203018096,0.04158969448241266,-0.16386656103268507,-0.12960999096434558,0.22611328623677027,0.0499260368477275,-0.1320753323710828,-0.06682529608760267,0.21297315589619237,0.03908374713345755,-0.06989477128803698,-0.17986357960074023,-0.16068691346170302,0.07372906919324596,0.012460900872035833,-0.2891646155049925,0.004398621945508101
QB_NZ_F_936,-0.14980979319764343,0.04357798668173019,-0.023688401151369488,0.09534688946711725,0.07035250710015234,-0.07607279473495182,-0.16772229539050743,-0.05018131618098702,-0.03544669362527055,0.056259042023111716,-0.023143123800796157,-0.04081633061322421,-0.06274719984661561,-0.009743746475993567,0.04675623093312331,-5.468695903748176e-4,0.06555461238656458,0.09478774030733042,-0.1133524679672333,-0.05766572933775996
QB_NZ_F_957,0.03354399899690862,-0.12472994788097418,0.02906781173762644,-0.04926462200396493,0.048759837090244174,0.10362306354221959,-0.1768705044755925,0.1540790003515772,-0.02616887257504019,-0.01991370349232104,0.05420102959480821,0.00510773231197768,0.23747066051321564,0.1503066739565034,-0.0962447098831114,0.06055806467995235,-0.12962615885736312,-0.08486619201683926,-0.07252732114638662,-0.020353100598860526
QB_NZ_F_968,0.08625427933387281,-0.10019635830233437,-0.14767850785289155,0.191611887170202,-0.14084979043564766,-0.03524529409176315,0.02685339055332911,0.23430010972011445,-0.09228374338432253,0.09761885073873068,0.1955404756323125,-0.31235034445431586,0.0735879563466996,0.2260553736131726,-0.12107872650429731,0.1462933244748262,-0.17259170342514807,-0.11099824059683136,0.17327717914150353,-0.08655715000452369
QB_NZ_F_971,-0.08009879133865104,-0.005673863178746802,0.05132628947305595,-0.15167380112905585,-0.034356344058962485,0.03739081429211264,0.14488239853028714,-0.09326378346480106,0.300952200799295,0.011014679279312602,-0.04129469370483605,0.08015289451450694,-0.0512154905902675,0.09795559640305673,-0.11166896057773135,-0.07199818354724936,-0.036481175257805774,0.03391499603934015,-0.12665004217051246,0.029081243438447646
QB_NZ_F_978,-0.097970432010057,0.061477831621861594,-0.070744424425028,0.03514737771082587,-0.06813400316440528,-0.011970378488870694,-0.05332950219601123,0.015865773255224203,-0.4498436775755605,-0.00629334096557955,0.06878817767201537,-0.021719239701880534,0.18844392054665404,-0.2288769469062094,-0.049904405753246645,-0.03249889829286676,0.13078237394865852,0.18284121194622338,0.29453806718598624,0.005709976992936754
QB_NZ_F_983,-0.025995970109036644,0.08310047150333713,0.172871125737999,0.0031812614430970897,-0.0560455183445927,0.07509785332828424,0.08486000542625463,-0.04601078795403583,-0.07098470356377967,0.0833407926319542,-0.09126221827925905,0.15049585603378393,0.28276575758095074,-0.021534308510719857,-0.09883197129444066,0.016797558316400805,0.04792191035481262,0.024151700168148306,-0.1947150393011246,-0.03849767791199083
QB_NZ_F_987,0.06860914386731762,0.09172389294290649,0.05002157831406194,0.20805777722160193,-0.002571479215908402,0.07524336791174047,-0.04082925331283263,-0.06105844685867032,-0.25429426414122686,-0.04451104357827583,0.1821383830565106,-0.20982712013667734,0.14135809332304966,-0.12966604796940454,0.1660117630027531,-0.010080488073439505,-0.08172911707135275,0.04069574386423288,0.03032176046705812,-0.07511982458756325
QB_NZ_F_995,-0.1029620660640124,0.03239633008044833,0.06697545391889458,-0.12663937088631694,-0.006085803663102087,0.12678583328028503,0.15426748467282775,0.09425953636419171,0.12648606389589104,-0.024006837833845013,-0.21094814925957042,0.03596836943499614,-0.15748993188454227,0.003864862956023643,0.01580917798181756,0.034628858023460204,0.008394333182459726,0.0388851144313384,-0.0324470389505005,-0.02348481296694786
QB_NZ_F_996,0.2541736904452395,-0.039341373792934106,-0.14255619737041741,0.3076381291064292,-0.16376302026300604,-0.16858951006370068,-0.43219779165444855,0.3650953797519888,0.010565073676555702,0.09689775261917156,0.20950065049500746,-0.30940947521166456,-0.15487096316754792,0.09111262570250905,-0.13906901401818894,0.029222468385677828,-0.08952522681643336,0.04654589130306637,0.6477541848428601,-0.2603161267598261
QB_NZ_F_998,-0.16189466784895018,-0.01672368243914809,0.13356935412995768,-0.06613370916894032,0.020882119412301586,-0.09178402860259072,0.0858495327898027,-0.038748014144360896,-0.03125570477768379,0.023655505251349494,-0.06406872112164723,0.2277861830994181,-0.02188593416503639,-0.0413844104169248,0.12947802980932457,0.0741247166939225,0.10147042011823258,-0.02724327720710309,-0.29947661460932445,0.1692641463405545
QB_NZ_M_115,0.06528315538660875,0.012602429018741881,-0.014072134278046088,-0.004304154426424329,0.0017609541284154774,0.010052920831451633,-0.09858994140452296,0.002601497243982674,0.015847519971073462,0.12585011263248214,0.13150891539818313,-0.05363268033497892,0.12357987294200637,0.11833474252455539,0.019126638083332988,0.1332737829462873,-0.1588510752028802,0.055571100179426604,1.4886716578124828e-4,-0.05025660332903215
QB_NZ_M_126,-0.18688201442247573,0.05496922381292187,-0.2592032213980316,0.0461149107296925,0.006578610055555465,-0.030133312577880458,-0.05375340546685372,0.10490231527553556,0.18683575077139716,0.20067880053868636,0.045252686485655606,-0.02472516957308322,-0.13217102526471847,-0.07443205271298467,-0.13064975349190033,0.004399017667184334,0.1084633349339003,0.10163678535514487,0.4516808447222277,-0.14091748678541216
QB_NZ_M_149,6.658595894594126e-4,-0.07047912230049017,0.05912420478747399,0.02013287381292269,-0.15666151096530637,0.07359920228256459,0.1421033269507849,-0.12592964385118566,-0.08172529257516925,0.06350276159243085,-0.03029432668778602,0.12712889403540564,-0.13596928863657484,0.04588662506340747,-0.05333608891413771,-0.034468507634787815,-0.1036231853521764,-0.03504831766224989,0.14633030504663286,-0.026121444948753958
QB_NZ_M_157,0.06615033258814926,-0.008214996407170508,-0.09448621668899458,-0.005621960386103017,0.11434525362691143,-0.22045918040534468,-0.07450914649302101,0.2436327942207666,0.23722674897866075,0.10655083463795013,-0.36554158152913663,0.026354360864403945,0.014517345341693584,0.05647064534454705,-0.06659750895555289,0.09170398839622311,0.01811899844604174,-0.06461084848577944,0.0352848030676206,0.03131384828394569
QB_NZ_M_162,-0.06131646973472757,-0.010705886297770613,0.06771666329051906,-0.10701276294297905,-0.019930605358121214,-0.026976805390610325,-0.07016723818757609,0.00634781011791963,-0.14303828116793732,-0.051602622201339765,-0.07380515098114528,0.02479727669790949,0.10635200949027153,0.008347007020862947,0.1410336466112219,0.09472375406909857,0.12130840396827326,0.07735925189223972,-0.3289163068280627,0.11937303797901655
QB_NZ_M_167,-0.046423745357737675,0.10302198887007816,-0.036774532499661394,0.13234131556458203,0.05395277043999847,-0.04027468521671359,-0.13116521643823187,-0.10763460271816862,0.04244062096121117,0.142676454227906,2.49933245273147e-4,-0.06821386866366999,0.17590641315544206,-0.012905041229103425,-0.041205994846536906,-0.05425758549923343,0.06972086710262423,0.12240003947219144,-0.0679639356325455,-0.0470673979831836
QB_NZ_M_171,-0.16402218160927853,0.23362347247709872,0.054287345329687584,0.03027958791598643,0.12473593413392148,-0.12799963290678215,0.1604838572842352,-0.08896963429355943,0.048299581574708116,-0.07627347598255882,-0.22634521063685475,-0.09533749878510533,0.04259001116906568,0.11341428486041774,0.07990415498771565,0.1493893190547692,-0.23707808766139263,-0.12164715475919155,-0.15421020273222558,0.1679621722106379
QB_NZ_M_175,-0.08396905191258404,0.0164111512129154,-0.0643025537911244,0.007101822253738939,-0.12304090294713875,0.07441728967495806,0.12050217882545744,0.022501222561684135,0.1746778032841542,-0.06886113975797088,-0.09778759356157458,0.02102117526171685,0.010005284494540596,-0.017705487908955698,8.676452870078683e-4,0.022953852754742064,0.23923707501217295,-0.03196890693340304,0.0933115713786491,0.040044412224424245
QB_NZ_M_189,0.2646459960599556,-0.15766023725718675,-0.18921045580642418,0.31344909716912733,-0.16173860856654962,0.026635561968115704,-0.19380814988512773,0.30132826620783426,0.12755327313119152,0.15611774160993752,0.14870563987095242,-0.240605787183198,-0.3546994503654131,-0.1473116187085495,-0.17993183051389358,0.021038622734945424,-0.07843503451029271,-0.0065221779308411885,0.4829381450129572,-0.3132878086628474
QB_NZ_M_192,-0.07080112244697281,-0.024758763316318738,-0.018288427239081258,-0.12735471999812145,0.02884452545901576,-0.13390615254140834,0.2123124657864279,-0.3139502873145316,0.11766809839934286,0.052173526129334326,-0.15916521991021296,0.3037322448743742,-0.05586850436216353,0.2704319325874793,0.033336176538410714,0.14079003608456417,-0.09117418811409361,-0.05033112875088815,-0.20700324455495325,0.16121464117778952
QB_NZ_M_233,-0.012621431607644161,0.04611494470220268,-0.060680177825190744,0.032404686586780015,0.0243542892994967,-0.10357537844439778,0.028876272340975742,-0.05290373549519936,-0.019195110810532164,0.02696911653531146,-0.08131066728270914,0.0019874206271388016,-0.045851519447875376,-0.16025868786865863,0.06954325191140395,-0.09990114477376341,0.10786487040102119,0.18159020723071287,-0.14280544703409567,0.16793054521975817
QB_NZ_M_247,-0.06162249805590033,-0.019157635408736953,-0.23135973565231824,0.17567841045432048,0.0464008647081853,0.29431588758068633,-0.0878137119184706,0.037353352092366274,0.3554149333575358,0.05556733555570957,0.284643202142225,-0.019219566013449974,0.16116722700558145,-0.5005148753891994,-0.26086511361065445,-0.21720372125612517,0.22180257401199174,-0.2370351719870899,0.03054274627118111,-0.1854736004546328
QB_NZ_M_272,-0.05964768744936379,0.05755393254043402,0.07465949953562147,0.022339394442791247,0.13663698217598108,0.062156327892913345,0.05081581586015669,0.0731536343504742,-0.08756477303229826,0.15943240624225213,-0.08655361660933603,0.05844890021138579,0.05401839259688735,-0.057325931243151676,0.07671330304215083,0.004068335361201029,-0.17227280215111854,0.04965723991650663,-0.1997643089256251,0.10684474850446021
QB_NZ_M_287,-0.183178370591095,0.10259306916974409,0.3625973839969847,-0.15390402452347415,0.08549522059130069,-0.2111200404789378,0.09589985190955361,-0.048695733850095985,-0.23335770925762372,-0.1625332081201629,0.1243274839685455,-0.222298668482584,0.2390289662004968,0.19264356081322578,-0.05119612597440707,0.028793329242166644,-0.12181286109995229,-0.11558916246554905,-0.3156774959696796,0.3041746473411728
QB_NZ_M_291,0.02299800568931434,0.16299446741460827,0.009975242242375428,0.05452339847385189,0.06678766353258696,-0.27297084127813287,-0.1056921537910269,0.06912582610373519,-0.019784642099286112,-0.042141436216784504,-0.012502384552613108,-0.173983901805321,0.2013106002182878,0.035922323055769846,-0.05708285373486732,-0.09253554970844947,-0.0322537806560045,-0.007827009531087108,-0.1268943531684773,0.3157142112740119
